Sample	Project	Status	Disease	V_region	Platform	Region
ERR494388	ERP005509	healthy	health	v3	miseq	Subg
ERR494391	ERP005509	healthy	health	v3	miseq	Subg
ERR494394	ERP005509	healthy	health	v3	miseq	Subg
ERR494397	ERP005509	healthy	health	v3	miseq	Subg
ERR494400	ERP005509	healthy	health	v3	miseq	Subg
ERR494403	ERP005509	healthy	health	v3	miseq	Subg
ERR494406	ERP005509	healthy	health	v3	miseq	Subg
ERR494409	ERP005509	healthy	health	v3	miseq	Subg
ERR494412	ERP005509	healthy	health	v3	miseq	Subg
ERR494415	ERP005509	healthy	health	v3	miseq	Subg
ERR494418	ERP005509	healthy	health	v3	miseq	Subg
ERR494389	ERP005509	healthy	health	v3	miseq	Supra
ERR494392	ERP005509	healthy	health	v3	miseq	Supra
ERR494395	ERP005509	healthy	health	v3	miseq	Supra
ERR494398	ERP005509	healthy	health	v3	miseq	Supra
ERR494401	ERP005509	healthy	health	v3	miseq	Supra
ERR494404	ERP005509	healthy	health	v3	miseq	Supra
ERR494407	ERP005509	healthy	health	v3	miseq	Supra
ERR494410	ERP005509	healthy	health	v3	miseq	Supra
ERR494413	ERP005509	healthy	health	v3	miseq	Supra
ERR494416	ERP005509	healthy	health	v3	miseq	Supra
ERR494419	ERP005509	healthy	health	v3	miseq	Supra
SRR3745301	SRP077982	healthy	health	v4	miseq	Subg
SRR5178151	SRP077982	healthy	health	v4	miseq	Subg
SRR5178152	SRP077982	healthy	health	v4	miseq	Subg
SRR5178153	SRP077982	healthy	health	v4	miseq	Subg
SRR5178154	SRP077982	healthy	health	v4	miseq	Subg
SRR5178155	SRP077982	healthy	health	v4	miseq	Subg
SRR5178157	SRP077982	healthy	health	v4	miseq	Subg
SRR5178158	SRP077982	healthy	health	v4	miseq	Subg
SRR5178159	SRP077982	healthy	health	v4	miseq	Subg
SRR5178160	SRP077982	healthy	health	v4	miseq	Subg
SRR5178161	SRP077982	healthy	health	v4	miseq	Subg
SRR5178162	SRP077982	healthy	health	v4	miseq	Subg
SRR5178163	SRP077982	healthy	health	v4	miseq	Subg
SRR5178164	SRP077982	healthy	health	v4	miseq	Subg
SRR5178165	SRP077982	healthy	health	v4	miseq	Subg
SRR5178166	SRP077982	healthy	health	v4	miseq	Subg
SRR5178167	SRP077982	healthy	health	v4	miseq	Subg
SRR5178168	SRP077982	healthy	health	v4	miseq	Subg
SRR5178169	SRP077982	healthy	health	v4	miseq	Subg
SRR5178170	SRP077982	healthy	health	v4	miseq	Subg
SRR5178171	SRP077982	healthy	health	v4	miseq	Subg
DRR030443	DRP002688	healthy	health	v4	miseq	Supra
DRR030444	DRP002688	healthy	health	v4	miseq	Supra
DRR030445	DRP002688	healthy	health	v4	miseq	Supra
DRR030446	DRP002688	healthy	health	v4	miseq	Supra
DRR030447	DRP002688	healthy	health	v4	miseq	Supra
DRR030448	DRP002688	healthy	health	v4	miseq	Supra
DRR030449	DRP002688	healthy	health	v4	miseq	Supra
DRR030450	DRP002688	healthy	health	v4	miseq	Supra
DRR030451	DRP002688	healthy	health	v4	miseq	Supra
DRR030452	DRP002688	healthy	health	v4	miseq	Supra
DRR030453	DRP002688	healthy	health	v4	miseq	Supra
DRR030454	DRP002688	healthy	health	v4	miseq	Supra
DRR030455	DRP002688	healthy	health	v4	miseq	Supra
DRR030456	DRP002688	healthy	health	v4	miseq	Supra
DRR030457	DRP002688	healthy	health	v4	miseq	Supra
DRR030458	DRP002688	healthy	health	v4	miseq	Supra
DRR030459	DRP002688	healthy	health	v4	miseq	Supra
DRR030460	DRP002688	healthy	health	v4	miseq	Supra
DRR030461	DRP002688	healthy	health	v4	miseq	Supra
DRR030462	DRP002688	healthy	health	v4	miseq	Supra
DRR030463	DRP002688	healthy	health	v4	miseq	Supra
DRR030464	DRP002688	healthy	health	v4	miseq	Supra
DRR030465	DRP002688	healthy	health	v4	miseq	Supra
DRR030466	DRP002688	healthy	health	v4	miseq	Supra
DRR030467	DRP002688	healthy	health	v4	miseq	Supra
DRR030468	DRP002688	healthy	health	v4	miseq	Supra
DRR030469	DRP002688	healthy	health	v4	miseq	Supra
DRR030470	DRP002688	healthy	health	v4	miseq	Supra
DRR030471	DRP002688	healthy	health	v4	miseq	Supra
DRR030472	DRP002688	healthy	health	v4	miseq	Supra
DRR030473	DRP002688	healthy	health	v4	miseq	Supra
DRR030474	DRP002688	healthy	health	v4	miseq	Supra
DRR030475	DRP002688	healthy	health	v4	miseq	Supra
DRR030476	DRP002688	healthy	health	v4	miseq	Supra
DRR030477	DRP002688	healthy	health	v4	miseq	Supra
DRR030478	DRP002688	healthy	health	v4	miseq	Supra
DRR030479	DRP002688	healthy	health	v4	miseq	Supra
DRR030480	DRP002688	healthy	health	v4	miseq	Supra
DRR030481	DRP002688	healthy	health	v4	miseq	Supra
DRR030482	DRP002688	healthy	health	v4	miseq	Supra
DRR030483	DRP002688	healthy	health	v4	miseq	Supra
DRR030484	DRP002688	healthy	health	v4	miseq	Supra
DRR030485	DRP002688	healthy	health	v4	miseq	Supra
DRR030486	DRP002688	healthy	health	v4	miseq	Supra
DRR030487	DRP002688	healthy	health	v4	miseq	Supra
DRR030488	DRP002688	healthy	health	v4	miseq	Supra
DRR030489	DRP002688	healthy	health	v4	miseq	Supra
DRR030490	DRP002688	healthy	health	v4	miseq	Supra
DRR030491	DRP002688	healthy	health	v4	miseq	Supra
DRR030492	DRP002688	healthy	health	v4	miseq	Supra
DRR030493	DRP002688	healthy	health	v4	miseq	Supra
DRR030494	DRP002688	healthy	health	v4	miseq	Supra
DRR030495	DRP002688	healthy	health	v4	miseq	Supra
DRR030496	DRP002688	healthy	health	v4	miseq	Supra
DRR030497	DRP002688	healthy	health	v4	miseq	Supra
DRR030498	DRP002688	healthy	health	v4	miseq	Supra
DRR030499	DRP002688	healthy	health	v4	miseq	Supra
DRR030500	DRP002688	healthy	health	v4	miseq	Supra
DRR030501	DRP002688	healthy	health	v4	miseq	Supra
DRR030502	DRP002688	healthy	health	v4	miseq	Supra
DRR030503	DRP002688	healthy	health	v4	miseq	Supra
DRR030504	DRP002688	healthy	health	v4	miseq	Supra
DRR030505	DRP002688	healthy	health	v4	miseq	Supra
DRR030506	DRP002688	healthy	health	v4	miseq	Supra
DRR030507	DRP002688	healthy	health	v4	miseq	Supra
DRR030508	DRP002688	healthy	health	v4	miseq	Supra
DRR030509	DRP002688	healthy	health	v4	miseq	Supra
DRR030510	DRP002688	healthy	health	v4	miseq	Supra
DRR030511	DRP002688	healthy	health	v4	miseq	Supra
DRR030512	DRP002688	healthy	health	v4	miseq	Supra
DRR030513	DRP002688	healthy	health	v4	miseq	Supra
DRR030514	DRP002688	healthy	health	v4	miseq	Supra
DRR030515	DRP002688	healthy	health	v4	miseq	Supra
DRR030516	DRP002688	healthy	health	v4	miseq	Supra
DRR030517	DRP002688	healthy	health	v4	miseq	Supra
DRR030518	DRP002688	healthy	health	v4	miseq	Supra
DRR030519	DRP002688	healthy	health	v4	miseq	Supra
DRR030520	DRP002688	healthy	health	v4	miseq	Supra
DRR030521	DRP002688	healthy	health	v4	miseq	Supra
DRR030522	DRP002688	healthy	health	v4	miseq	Supra
DRR030523	DRP002688	healthy	health	v4	miseq	Supra
DRR030524	DRP002688	healthy	health	v4	miseq	Supra
DRR030525	DRP002688	healthy	health	v4	miseq	Supra
DRR030526	DRP002688	healthy	health	v4	miseq	Supra
DRR030527	DRP002688	healthy	health	v4	miseq	Supra
DRR030528	DRP002688	healthy	health	v4	miseq	Supra
DRR030529	DRP002688	healthy	health	v4	miseq	Supra
DRR030530	DRP002688	healthy	health	v4	miseq	Supra
DRR030531	DRP002688	healthy	health	v4	miseq	Supra
DRR030532	DRP002688	healthy	health	v4	miseq	Supra
DRR030533	DRP002688	healthy	health	v4	miseq	Supra
DRR030534	DRP002688	healthy	health	v4	miseq	Supra
DRR030535	DRP002688	healthy	health	v4	miseq	Supra
DRR030536	DRP002688	healthy	health	v4	miseq	Supra
DRR030537	DRP002688	healthy	health	v4	miseq	Supra
DRR030538	DRP002688	healthy	health	v4	miseq	Supra
DRR030539	DRP002688	healthy	health	v4	miseq	Supra
DRR030540	DRP002688	healthy	health	v4	miseq	Supra
DRR030541	DRP002688	healthy	health	v4	miseq	Supra
DRR030542	DRP002688	healthy	health	v4	miseq	Supra
DRR030543	DRP002688	healthy	health	v4	miseq	Supra
DRR030544	DRP002688	healthy	health	v4	miseq	Supra
DRR030545	DRP002688	healthy	health	v4	miseq	Supra
DRR030546	DRP002688	healthy	health	v4	miseq	Supra
DRR030547	DRP002688	healthy	health	v4	miseq	Supra
DRR030548	DRP002688	healthy	health	v4	miseq	Supra
DRR030549	DRP002688	healthy	health	v4	miseq	Supra
DRR030550	DRP002688	healthy	health	v4	miseq	Supra
DRR030551	DRP002688	healthy	health	v4	miseq	Supra
DRR030552	DRP002688	healthy	health	v4	miseq	Supra
DRR030553	DRP002688	healthy	health	v4	miseq	Supra
DRR030554	DRP002688	healthy	health	v4	miseq	Supra
DRR030555	DRP002688	healthy	health	v4	miseq	Supra
DRR030556	DRP002688	healthy	health	v4	miseq	Supra
DRR030557	DRP002688	healthy	health	v4	miseq	Supra
DRR030558	DRP002688	healthy	health	v4	miseq	Supra
DRR030559	DRP002688	healthy	health	v4	miseq	Supra
DRR030560	DRP002688	healthy	health	v4	miseq	Supra
DRR030561	DRP002688	healthy	health	v4	miseq	Supra
DRR030562	DRP002688	healthy	health	v4	miseq	Supra
DRR030563	DRP002688	healthy	health	v4	miseq	Supra
DRR030564	DRP002688	healthy	health	v4	miseq	Supra
DRR030565	DRP002688	healthy	health	v4	miseq	Supra
DRR030566	DRP002688	healthy	health	v4	miseq	Supra
DRR030567	DRP002688	healthy	health	v4	miseq	Supra
DRR030568	DRP002688	healthy	health	v4	miseq	Supra
DRR030569	DRP002688	healthy	health	v4	miseq	Supra
DRR030570	DRP002688	healthy	health	v4	miseq	Supra
DRR030571	DRP002688	healthy	health	v4	miseq	Supra
DRR030572	DRP002688	healthy	health	v4	miseq	Supra
DRR030573	DRP002688	healthy	health	v4	miseq	Supra
DRR030574	DRP002688	healthy	health	v4	miseq	Supra
DRR030575	DRP002688	healthy	health	v4	miseq	Supra
DRR030576	DRP002688	healthy	health	v4	miseq	Supra
DRR030577	DRP002688	healthy	health	v4	miseq	Supra
DRR030578	DRP002688	healthy	health	v4	miseq	Supra
DRR030579	DRP002688	healthy	health	v4	miseq	Supra
DRR030580	DRP002688	healthy	health	v4	miseq	Supra
DRR030581	DRP002688	healthy	health	v4	miseq	Supra
DRR030582	DRP002688	healthy	health	v4	miseq	Supra
DRR030583	DRP002688	healthy	health	v4	miseq	Supra
DRR030584	DRP002688	healthy	health	v4	miseq	Supra
DRR030585	DRP002688	healthy	health	v4	miseq	Supra
DRR030586	DRP002688	healthy	health	v4	miseq	Supra
DRR030587	DRP002688	healthy	health	v4	miseq	Supra
DRR030588	DRP002688	healthy	health	v4	miseq	Supra
DRR030589	DRP002688	healthy	health	v4	miseq	Supra
DRR030590	DRP002688	healthy	health	v4	miseq	Supra
DRR030591	DRP002688	healthy	health	v4	miseq	Supra
DRR030592	DRP002688	healthy	health	v4	miseq	Supra
DRR030593	DRP002688	healthy	health	v4	miseq	Supra
DRR030594	DRP002688	healthy	health	v4	miseq	Supra
DRR030595	DRP002688	healthy	health	v4	miseq	Supra
DRR030596	DRP002688	healthy	health	v4	miseq	Supra
DRR030597	DRP002688	healthy	health	v4	miseq	Supra
DRR030598	DRP002688	healthy	health	v4	miseq	Supra
DRR030599	DRP002688	healthy	health	v4	miseq	Supra
DRR030600	DRP002688	healthy	health	v4	miseq	Supra
DRR030601	DRP002688	healthy	health	v4	miseq	Supra
DRR030602	DRP002688	healthy	health	v4	miseq	Supra
DRR030603	DRP002688	healthy	health	v4	miseq	Supra
DRR030604	DRP002688	healthy	health	v4	miseq	Supra
DRR030605	DRP002688	healthy	health	v4	miseq	Supra
DRR030606	DRP002688	healthy	health	v4	miseq	Supra
DRR030607	DRP002688	healthy	health	v4	miseq	Supra
DRR030608	DRP002688	healthy	health	v4	miseq	Supra
DRR030609	DRP002688	healthy	health	v4	miseq	Supra
DRR030610	DRP002688	healthy	health	v4	miseq	Supra
DRR030611	DRP002688	healthy	health	v4	miseq	Supra
DRR030612	DRP002688	healthy	health	v4	miseq	Supra
